Warehouse Location,Stock Number,Nomenclature,CIC,UI,ERRC,DOLT,DOLI,Dead Loc Flag,Serv Balance,IEX,Demand Level,SLC,Unit Price,Details
,5305000546652,,,,,,,,36,,,,,
,5305011806612,,,,,,,,8,,,,,
17A001A001,4730015544191,"RETAINER,COUPLING",U,EA,XB3,2020141,2019280,,36,,0,0,$296.97,1
17A001A002,5325015275430BA,"GROMMET,NONMETALLIC",U,EA,XB3,2020168,2019280,,1,,0,0,$2.00,
17A001A003,5305009313140SX,"SCREW,MACHINE",U,EA,XB3,2018305,2019280,,220,,45,0,$0.11,
17A001A004,1680014461500BA,"SAFETY WALK,NON SLP",U,EA,XB3,2020168,2019280,,1,,0,0,$22.89,
17A001A005,5305002263631SX,NAS1123-15   SCREW,U,EA,XB3,2019322,2019280,,36,,6,0,$0.92,
17A001A006,5340005980234SX,CLAMP MS122910,U,EA,XB3,2019274,2019280,,129,,0,0,$0.56,
17A001A007,5310013442459BA,"NUT,SELF-LOCKING,SP",U,EA,XB3,2020168,2019282,,87,,8,0,$5.35,1
17A001A008,5365013581863SX,SPACER NAS43DD4-66,U,EA,XB3,2019274,2019280,,43,,0,0,$0.66,1
17A001A009,4730010468549SX,FLANGE TO TUBE 7723,U,EA,XB3,2020108,2019280,,2,,1,0,"$1,169.72",
17A001A010,5305008277963PQ,"SCREW,MACHINE",U,EA,XB3,2020160,2019282,,447,,554,0,$6.75,2
17A001A011,5325001913700AW,"RING,RETAINING",U,EA,XB3,2020129,2020027,,140,,125,0,$3.08,
17A001A012,6685015086237,TRANSDUCER,U,EA,XB3,2020183,2019280,,1,,1,0,"$1,411.37",
17A001A013,5306006382216SX,"BOLT,EYE",U,EA,XB3,2019274,2019280,,1,,0,0,$9.82,
17A001A014,5930004056668EH,SWITCH ELEC D18685,U,EA,XB3,2020092,2019280,,1,,1,0,$488.32,1
17A001A015,5305005197977SX,"SCREW,MACHINE",U,EA,XB3,2020157,2019280,,0,,0,0,$0.20,
17A001A016,1560008716273JH,SPRING N6930,U,EA,XB3,2020183,2019280,,1,,1,0,$282.01,
17A001A017,5365001153231SX,SPACER PLATE,U,EA,XB3,2019353,2019280,,105,,0,0,$2.94,
17A001A018,5320012672997SX,PIN RIVET THREADED,U,EA,XB3,2020156,2019303,,82,,62,0,$4.66,1
